iso3c,r11,r11_long,r11eu27,r11eu27_long,oecdeu27
ABW,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
AFG,SAS,South Asia,SAS,South Asia,
AGO,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
AIA,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
ALB,EEU,Central and Eastern Europe,REU,Rest of Europe,
AND,WEU,Western Europe,REU,Rest of Europe,
ANT,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
ARE,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
ARG,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
ARM,FSU,Former Soviet Union,FSU,Former Soviet Union,
ASM,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
ATG,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
AUS,PAO,Pacific OECD,PAO,Pacific OECD,AUS
AUT,WEU,Western Europe,EU27,EU27,EU27
AZE,FSU,Former Soviet Union,FSU,Former Soviet Union,
BDI,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
BEL,WEU,Western Europe,EU27,EU27,EU27
BEN,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
BES,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
BFA,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
BGD,SAS,South Asia,SAS,South Asia,
BGR,EEU,Central and Eastern Europe,EU27,EU27,EU27
BHR,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
BHS,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
BIH,EEU,Central and Eastern Europe,REU,Rest of Europe,
BLR,FSU,Former Soviet Union,FSU,Former Soviet Union,
BLZ,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
BMU,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
BOL,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
BRA,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
BRB,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
BRN,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
BTN,SAS,South Asia,SAS,South Asia,
BWA,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
CAF,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
CAN,NAM,North America,NAM,North America,CAN
CCK,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
CHE,WEU,Western Europe,REU,Rest of Europe,CHE
CHL,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,CHL
CHN,CPA,Centrally Planned Asia,CPA,Centrally Planned Asia,
CIV,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
CMR,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
COD,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
COG,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
COK,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
COL,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,COL
COM,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
CPV,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
CRI,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,CRI
CUB,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
CUW,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
CXR,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
CYM,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
CYP,WEU,Western Europe,EU27,EU27,EU27
CZE,EEU,Central and Eastern Europe,EU27,EU27,EU27
DEU,WEU,Western Europe,EU27,EU27,EU27
DJI,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
DMA,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
DNK,WEU,Western Europe,EU27,EU27,EU27
DOM,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
DZA,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
ECU,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
EGY,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
ERI,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
ESH,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
ESP,WEU,Western Europe,EU27,EU27,EU27
EST,EEU,Central and Eastern Europe,EU27,EU27,EU27
ETH,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
FIN,WEU,Western Europe,EU27,EU27,EU27
FJI,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
FLK,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
FRA,WEU,Western Europe,EU27,EU27,EU27
FRO,WEU,Western Europe,REU,Rest of Europe,
FSM,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
GAB,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
GBR,WEU,Western Europe,REU,Rest of Europe,GBR
GEO,FSU,Former Soviet Union,FSU,Former Soviet Union,
GHA,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
GIB,WEU,Western Europe,REU,Rest of Europe,
GIN,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
GLP,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
GMB,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
GNB,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
GNQ,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
GRC,WEU,Western Europe,EU27,EU27,EU27
GRD,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
GRL,WEU,Western Europe,REU,Rest of Europe,
GTM,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
GUF,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
GUM,NAM,North America,NAM,North America,
GUY,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
HKG,CPA,Centrally Planned Asia,CPA,Centrally Planned Asia,
HND,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
HRV,EEU,Central and Eastern Europe,EU27,EU27,EU27
HTI,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
HUN,EEU,Central and Eastern Europe,EU27,EU27,EU27
IDN,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
IMN,WEU,Western Europe,REU,Rest of Europe,
IND,SAS,South Asia,SAS,South Asia,
IRL,WEU,Western Europe,EU27,EU27,EU27
IRN,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
IRQ,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
ISL,WEU,Western Europe,REU,Rest of Europe,ISL
