iso3c,r11,r11_long,r11eu27,r11eu27_long,oecdeu27
ISR,MEA,Middle East and North Africa,MEA,Middle East and North Africa,ISR
ITA,WEU,Western Europe,EU27,EU27,EU27
JAM,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
JOR,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
JPN,PAO,Pacific OECD,PAO,Pacific OECD,JPN
KAZ,FSU,Former Soviet Union,FSU,Former Soviet Union,
KEN,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
KGZ,FSU,Former Soviet Union,FSU,Former Soviet Union,
KHM,CPA,Centrally Planned Asia,CPA,Centrally Planned Asia,
KIR,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
KNA,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
KOR,PAS,Other Pacific Asia,PAS,Other Pacific Asia,KOR
KWT,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
LAO,CPA,Centrally Planned Asia,CPA,Centrally Planned Asia,
LBN,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
LBR,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
LBY,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
LCA,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
LIE,WEU,Western Europe,REU,Rest of Europe,
LKA,SAS,South Asia,SAS,South Asia,
LSO,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
LTU,EEU,Central and Eastern Europe,EU27,EU27,EU27
LUX,WEU,Western Europe,EU27,EU27,EU27
LVA,EEU,Central and Eastern Europe,EU27,EU27,EU27
MAC,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
MAR,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
MCO,WEU,Western Europe,REU,Rest of Europe,
MDA,FSU,Former Soviet Union,FSU,Former Soviet Union,
MDG,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
MDV,SAS,South Asia,SAS,South Asia,
MEX,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,MEX
MHL,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
MKD,EEU,Central and Eastern Europe,REU,Rest of Europe,
MLI,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
MLT,WEU,Western Europe,EU27,EU27,EU27
MMR,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
MNE,EEU,Central and Eastern Europe,REU,Rest of Europe,
MNG,CPA,Centrally Planned Asia,CPA,Centrally Planned Asia,
MNP,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
MOZ,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
MRT,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
MSR,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
MTQ,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
MUS,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
MWI,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
MYS,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
MYT,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
NAM,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
NCL,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
NER,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
NFK,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
NGA,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
NIC,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
NIU,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
NLD,WEU,Western Europe,EU27,EU27,EU27
NOR,WEU,Western Europe,EU27,EU27,EU27
NPL,SAS,South Asia,SAS,South Asia,
NRU,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
NZL,PAO,Pacific OECD,PAO,Pacific OECD,NZL
OMN,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
PAK,SAS,South Asia,SAS,South Asia,
PAN,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
PCI,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
PCN,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
PER,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
PHL,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
PLW,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
PNG,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
POL,EEU,Central and Eastern Europe,REU,Rest of Europe,POL
PRI,NAM,North America,NAM,North America,
PRK,CPA,Centrally Planned Asia,CPA,Centrally Planned Asia,
PRT,WEU,Western Europe,EU27,EU27,EU27
PRY,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
PSE,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
PYF,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
QAT,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
REU,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
ROU,EEU,Central and Eastern Europe,EU27,EU27,EU27
RUS,FSU,Former Soviet Union,FSU,Former Soviet Union,
RWA,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
SAU,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
SCG,EEU,Central and Eastern Europe,REU,Rest of Europe,
SDN,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
SEN,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
SGP,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
SHN,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
SJM,WEU,Western Europe,REU,Rest of Europe,
SLB,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
SLE,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
SLV,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
SMR,WEU,Western Europe,REU,Rest of Europe,
SOM,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
SPM,NAM,North America,NAM,North America,
SRB,EEU,Central and Eastern Europe,REU,Rest of Europe,
SSD,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
STP,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
SUR,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
SVK,EEU,Central and Eastern Europe,EU27,EU27,EU27
SVN,EEU,Central and Eastern Europe,EU27,EU27,EU27
SWE,WEU,Western Europe,EU27,EU27,EU27
SWZ,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
SXM,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
SYC,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
SYR,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
TCA,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
TCD,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
TGO,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
THA,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
TJK,FSU,Former Soviet Union,FSU,Former Soviet Union,
TKL,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
TKM,FSU,Former Soviet Union,FSU,Former Soviet Union,
TLS,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
TON,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
TTO,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
TUN,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
TUR,WEU,Western Europe,REU,Rest of Europe,TUR
TUV,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
TWN,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
TZA,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
UGA,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
UKR,FSU,Former Soviet Union,FSU,Former Soviet Union,
URY,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
USA,NAM,North America,NAM,North America,USA
UZB,FSU,Former Soviet Union,FSU,Former Soviet Union,
VAT,WEU,Western Europe,REU,Rest of Europe,
VCT,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
VEN,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
VGB,LAM,Latin America and The Caribbean,LAM,Latin America and The Caribbean,
VIR,NAM,North America,NAM,North America,
VNM,CPA,Centrally Planned Asia,CPA,Centrally Planned Asia,
VUT,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
WLF,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
WSM,PAS,Other Pacific Asia,PAS,Other Pacific Asia,
YEM,MEA,Middle East and North Africa,MEA,Middle East and North Africa,
YUG,EEU,Central and Eastern Europe,REU,Rest of Europe,
ZAF,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
ZMB,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
ZWE,AFR,Sub-Saharan Africa,AFR,Sub-Saharan Africa,
