"","r11eu27","indicator","rcb","pop","allocation","pf","equalcapita","indicatorfull","indicatorshort","principle","emiss_20152019co2",".group"
"1","EU27","EPC 2015",41.9751426574039,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",15.2713129910285,1
"2","EU27","CO2 1850-2014",9.2938192884923,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",15.2713129910285,3
"3","EU27","CO2 1990-2014",17.7089857420731,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",15.2713129910285,4
"4","EU27","Consumption CO2 1990-2014",13.1797238154327,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",15.2713129910285,5
"5","EU27","CPC CO2 1850-2014",7.78427720426782,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",15.2713129910285,6
"6","EU27","CPC CO2 1990-2014",9.08000862103116,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",15.2713129910285,7
"7","EU27","CPC Consumption CO2 1990-2014",6.80832587574131,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",15.2713129910285,8
"8","EU27","GDP per capita 2014",8.68143935587715,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",15.2713129910285,9
"9","EU27","Capital stock per capita 2014",6.06451488339114,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",15.2713129910285,10
"10","EU27","EPC 2015",41.9751426574039,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",15.2713129910285,1
"11","EU27","CO2 1850-2014",21.0261457889218,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",15.2713129910285,3
"12","EU27","CO2 1990-2014",28.9609421928276,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",15.2713129910285,4
"13","EU27","Consumption CO2 1990-2014",25.2734338333774,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",15.2713129910285,5
"14","EU27","CPC CO2 1850-2014",19.7511880281721,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",15.2713129910285,6
"15","EU27","CPC CO2 1990-2014",21.2832786054203,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",15.2713129910285,7
"16","EU27","CPC Consumption CO2 1990-2014",18.5542767146266,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",15.2713129910285,8
"17","EU27","GDP per capita 2014",20.3494927070067,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",15.2713129910285,9
"18","EU27","Capital stock per capita 2014",17.2460440766595,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",15.2713129910285,10
"19","EU27","ECPC 2015-2050",38.5371002235294,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/x",2.33900406531685,"ECPC 2015-2050","E4","Equality",15.2713129910285,2
"20","EU27","CO2 1850-2014",8.01865798516094,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/x",2.33900406531685,"CO2 1850-2014","R2","Polluter Pays",15.2713129910285,3
"21","EU27","CO2 1990-2014",15.2298318483336,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/x",2.33900406531685,"CO2 1990-2014","R5","Polluter Pays",15.2713129910285,4
"22","EU27","Consumption CO2 1990-2014",11.2130861787981,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/x",2.33900406531685,"Consumption CO2 1990-2014","R7","Polluter Pays",15.2713129910285,5
"23","EU27","CPC CO2 1850-2014",6.8206443835646,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/x",2.33900406531685,"CPC CO2 1850-2014","R9","Polluter Pays",15.2713129910285,6
"24","EU27","CPC CO2 1990-2014",7.82782472454941,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/x",2.33900406531685,"CPC CO2 1990-2014","R12","Polluter Pays",15.2713129910285,7
"25","EU27","CPC Consumption CO2 1990-2014",5.82411293234979,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/x",2.33900406531685,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",15.2713129910285,8
"26","EU27","GDP per capita 2014",7.54176569534572,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/x",2.33900406531685,"GDP per capita 2014","C2","Ability to Pay",15.2713129910285,9
"27","EU27","Capital stock per capita 2014",5.21907377312921,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/x",2.33900406531685,"Capital stock per capita 2014","C4","Ability to Pay",15.2713129910285,10
"28","EU27","ECPC 2015-2050",38.5371002235294,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/sqrt(x)",2.33900406531685,"ECPC 2015-2050","E4","Equality",15.2713129910285,2
"29","EU27","CO2 1850-2014",18.6702105955587,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/sqrt(x)",2.33900406531685,"CO2 1850-2014","R2","Polluter Pays",15.2713129910285,3
"30","EU27","CO2 1990-2014",25.7036986912298,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/sqrt(x)",2.33900406531685,"CO2 1990-2014","R5","Polluter Pays",15.2713129910285,4
"31","EU27","Consumption CO2 1990-2014",22.3336546362316,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/sqrt(x)",2.33900406531685,"Consumption CO2 1990-2014","R7","Polluter Pays",15.2713129910285,5
"32","EU27","CPC CO2 1850-2014",17.6644585701804,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/sqrt(x)",2.33900406531685,"CPC CO2 1850-2014","R9","Polluter Pays",15.2713129910285,6
"33","EU27","CPC CO2 1990-2014",18.8814805296723,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/sqrt(x)",2.33900406531685,"CPC CO2 1990-2014","R12","Polluter Pays",15.2713129910285,7
"34","EU27","CPC Consumption CO2 1990-2014",16.4031534154583,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/sqrt(x)",2.33900406531685,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",15.2713129910285,8
"35","EU27","GDP per capita 2014",18.1681184448643,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/sqrt(x)",2.33900406531685,"GDP per capita 2014","C2","Ability to Pay",15.2713129910285,9
"36","EU27","Capital stock per capita 2014",15.3139747348724,16475858590.8268,"Allocated cumulative per capita 2015-2050","1/sqrt(x)",2.33900406531685,"Capital stock per capita 2014","C4","Ability to Pay",15.2713129910285,10
