"","r11eu27","indicator","rcb","pop","allocation","pf","equalcapita","indicatorfull","indicatorshort","principle","emiss_19902019co2",".group"
"1","EU27","EPC 1990",120.496282181503,418534524,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",104.876650815826,1
"2","REU","EPC 1990",40.7447265932663,141523659,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",29.0256586052081,1
"3","CPA","EPC 1990",363.515095455395,1262641591,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",193.095236643722,1
"4","FSU","EPC 1990",81.147287231972,281858831,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",75.9984372695356,1
"5","LAM","EPC 1990",126.457736827061,439241176,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",44.5465502066594,1
"6","MEA","EPC 1990",81.0677685489897,281582629,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",55.3999936267961,1
"7","NAM","EPC 1990",80.4768278065383,279530042,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",184.419998366784,1
"8","PAS","EPC 1990",124.322064724465,431823084,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",48.8766516696211,1
"9","PAO","EPC 1990",41.4955856770913,144131710,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",48.8581923645594,1
"10","SAS","EPC 1990",328.5844642481,1141312743,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",47.3771618529576,1
"11","AFR","EPC 1990",141.692160705618,492156770,"Allocated per capita in 1990","1/x",287.900460468354,"EPC 1990","E1","Equality",19.0057558484942,1
"12","EU27","CO2 1850-1989",13.8096362342664,418534524,"Allocated per capita in 1990","1/x",287.900460468354,"CO2 1850-1989","R1","Polluter Pays",104.876650815826,2
"13","REU","CO2 1850-1989",12.8452267807343,141523659,"Allocated per capita in 1990","1/x",287.900460468354,"CO2 1850-1989","R1","Polluter Pays",29.0256586052081,2
"14","CPA","CO2 1850-1989",167.159780808061,1262641591,"Allocated per capita in 1990","1/x",287.900460468354,"CO2 1850-1989","R1","Polluter Pays",193.095236643722,2
"15","FSU","CO2 1850-1989",16.6583530563642,281858831,"Allocated per capita in 1990","1/x",287.900460468354,"CO2 1850-1989","R1","Polluter Pays",75.9984372695356,2
"16","LAM","CO2 1850-1989",106.925087230418,439241176,"Allocated per capita in 1990","1/x",287.900460468354,"CO2 1850-1989","R1","Polluter Pays",44.5465502066594,2
