"","r11eu27","indicator","rcb","pop","allocation","pf","equalcapita","indicatorfull","indicatorshort","principle","emiss_20152019co2",".group"
"23","EU27","CO2 1990-2014",17.7089857420731,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",15.2713129910285,3
"24","REU","CO2 1990-2014",26.0430525279903,175745581,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",4.83727809339056,3
"25","CPA","CO2 1990-2014",39.4328607943793,1543734416,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",52.7723320101471,3
"26","FSU","CO2 1990-2014",16.2873799502095,288132971,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",12.5886940136973,3
"27","LAM","CO2 1990-2014",62.3029620840259,619813810,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",8.88774244467477,3
"28","MEA","CO2 1990-2014",42.1377665330202,488754711,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",13.8248547140283,3
"29","NAM","CO2 1990-2014",8.4163993566824,364114036,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",29.3508680707483,3
"30","PAS","CO2 1990-2014",58.2813455794585,609194409,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",11.4103691320799,3
"31","PAO","CO2 1990-2014",13.6905835856935,155661767,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",8.10381523312734,3
"32","SAS","CO2 1990-2014",190.336831685048,1775545250,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",13.9404799151414,3
"33","AFR","CO2 1990-2014",229.361832161419,961553461,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",3.97895428664317,3
"34","EU27","Consumption CO2 1990-2014",13.1797238154327,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",15.2713129910285,4
"35","REU","Consumption CO2 1990-2014",20.1483787405658,175745581,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",4.83727809339056,4
"36","CPA","Consumption CO2 1990-2014",40.3508987620665,1543734416,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",52.7723320101471,4
"37","FSU","Consumption CO2 1990-2014",20.0854164722558,288132971,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",12.5886940136973,4
"38","LAM","Consumption CO2 1990-2014",56.5221615378469,619813810,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",8.88774244467477,4
"39","MEA","Consumption CO2 1990-2014",48.8989374533066,488754711,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",13.8248547140283,4
"40","NAM","Consumption CO2 1990-2014",7.15537373449243,364114036,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",29.3508680707483,4
"41","PAS","Consumption CO2 1990-2014",47.1648415347436,609194409,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",11.4103691320799,4
"42","PAO","Consumption CO2 1990-2014",10.7550035525369,155661767,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",8.10381523312734,4
"43","SAS","Consumption CO2 1990-2014",176.567599071426,1775545250,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",13.9404799151414,4
"44","AFR","Consumption CO2 1990-2014",263.171665325327,961553461,"Allocated per capita in 2015","1/x",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",3.97895428664317,4
"45","EU27","CPC CO2 1850-2014",7.78427720426782,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",15.2713129910285,5
"46","REU","CPC CO2 1850-2014",2.74042733803399,175745581,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",4.83727809339056,5
"47","CPA","CPC CO2 1850-2014",89.4643028129911,1543734416,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",52.7723320101471,5
"48","FSU","CPC CO2 1850-2014",4.48775830445015,288132971,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",12.5886940136973,5
"49","LAM","CPC CO2 1850-2014",30.5439162392424,619813810,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",8.88774244467477,5
"50","MEA","CPC CO2 1850-2014",16.6098901005609,488754711,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",13.8248547140283,5
"51","NAM","CPC CO2 1850-2014",2.100866671262,364114036,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",29.3508680707483,5
"52","PAS","CPC CO2 1850-2014",38.2011250366483,609194409,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",11.4103691320799,5
"53","PAO","CPC CO2 1850-2014",2.6174181074348,155661767,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",8.10381523312734,5
"54","SAS","CPC CO2 1850-2014",372.785131300111,1775545250,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",13.9404799151414,5
"55","AFR","CPC CO2 1850-2014",136.664886884997,961553461,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",3.97895428664317,5
"56","EU27","CPC CO2 1990-2014",9.08000862103116,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",15.2713129910285,6
"57","REU","CPC CO2 1990-2014",4.84725405235121,175745581,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",4.83727809339056,6
"58","CPA","CPC CO2 1990-2014",66.1804496749433,1543734416,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",52.7723320101471,6
"59","FSU","CPC CO2 1990-2014",5.48347823931931,288132971,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",12.5886940136973,6
"60","LAM","CPC CO2 1990-2014",39.3762462334685,619813810,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",8.88774244467477,6
"61","MEA","CPC CO2 1990-2014",18.7208120743447,488754711,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",13.8248547140283,6
"62","NAM","CPC CO2 1990-2014",3.23369978174435,364114036,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",29.3508680707483,6
"63","PAS","CPC CO2 1990-2014",36.0303951545965,609194409,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",11.4103691320799,6
"64","PAO","CPC CO2 1990-2014",2.45457708171265,155661767,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",8.10381523312734,6
"65","SAS","CPC CO2 1990-2014",330.134159215997,1775545250,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",13.9404799151414,6
"66","AFR","CPC CO2 1990-2014",188.458919870491,961553461,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC CO2 1990-2014","R12","Polluter Pays",3.97895428664317,6
"67","EU27","CPC Consumption CO2 1990-2014",6.80832587574131,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",15.2713129910285,7
"68","REU","CPC Consumption CO2 1990-2014",3.77820443977398,175745581,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",4.83727809339056,7
"69","CPA","CPC Consumption CO2 1990-2014",68.2285423772898,1543734416,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",52.7723320101471,7
"70","FSU","CPC Consumption CO2 1990-2014",6.8128243275377,288132971,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",12.5886940136973,7
"71","LAM","CPC Consumption CO2 1990-2014",35.9903302475524,619813810,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",8.88774244467477,7
"72","MEA","CPC Consumption CO2 1990-2014",21.8873935038726,488754711,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",13.8248547140283,7
"73","NAM","CPC Consumption CO2 1990-2014",2.76979188090361,364114036,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",29.3508680707483,7
"74","PAS","CPC Consumption CO2 1990-2014",29.3764483136008,609194409,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",11.4103691320799,7
"75","PAO","CPC Consumption CO2 1990-2014",1.94270440343464,155661767,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",8.10381523312734,7
"76","SAS","CPC Consumption CO2 1990-2014",308.546121626944,1775545250,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",13.9404799151414,7
"77","AFR","CPC Consumption CO2 1990-2014",217.859313003349,961553461,"Allocated per capita in 2015","1/x",94.8153988010529,"CPC Consumption CO2 1990-2014","R14","Polluter Pays",3.97895428664317,7
"78","EU27","GDP per capita 2014",8.68143935587715,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",15.2713129910285,8
"79","REU","GDP per capita 2014",4.02267325367149,175745581,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",4.83727809339056,8
"80","CPA","GDP per capita 2014",103.210165721157,1543734416,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",52.7723320101471,8
"81","FSU","GDP per capita 2014",11.7010480904994,288132971,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",12.5886940136973,8
"82","LAM","GDP per capita 2014",30.3406524262819,619813810,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",8.88774244467477,8
"83","MEA","GDP per capita 2014",23.5790512746329,488754711,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",13.8248547140283,8
"84","NAM","GDP per capita 2014",5.07443770934575,364114036,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",29.3508680707483,8
"85","PAS","GDP per capita 2014",35.5051701272394,609194409,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",11.4103691320799,8
"86","PAO","GDP per capita 2014",2.97685257527825,155661767,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",8.10381523312734,8
"87","SAS","GDP per capita 2014",282.791849663649,1775545250,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",13.9404799151414,8
"88","AFR","GDP per capita 2014",196.116659802368,961553461,"Allocated per capita in 2015","1/x",94.8153988010529,"GDP per capita 2014","C2","Ability to Pay",3.97895428664317,8
"89","EU27","Capital stock per capita 2014",6.06451488339114,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",15.2713129910285,9
"90","REU","Capital stock per capita 2014",3.28149825259246,175745581,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",4.83727809339056,9
"91","CPA","Capital stock per capita 2014",90.5595074551608,1543734416,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",52.7723320101471,9
"92","FSU","Capital stock per capita 2014",9.82761733802831,288132971,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",12.5886940136973,9
"93","LAM","Capital stock per capita 2014",29.795570981389,619813810,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",8.88774244467477,9
"94","MEA","Capital stock per capita 2014",25.3222273700481,488754711,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",13.8248547140283,9
"95","NAM","Capital stock per capita 2014",5.41997644258872,364114036,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",29.3508680707483,9
"96","PAS","Capital stock per capita 2014",29.0098391112928,609194409,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",11.4103691320799,9
"97","PAO","Capital stock per capita 2014",2.19355656985368,155661767,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",8.10381523312734,9
"98","SAS","Capital stock per capita 2014",287.652533216922,1775545250,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",13.9404799151414,9
"99","AFR","Capital stock per capita 2014",214.873158378733,961553461,"Allocated per capita in 2015","1/x",94.8153988010529,"Capital stock per capita 2014","C4","Ability to Pay",3.97895428664317,9
"100","EU27","EPC 2015",41.9751426574039,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",15.2713129910285,1
"101","REU","EPC 2015",16.6633873500377,175745581,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",4.83727809339056,1
"102","CPA","EPC 2015",146.369794295951,1543734416,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",52.7723320101471,1
"103","FSU","EPC 2015",27.3194425530972,288132971,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",12.5886940136973,1
"104","LAM","EPC 2015",58.76789357755,619813810,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",8.88774244467477,1
"105","MEA","EPC 2015",46.3414728393584,488754711,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",13.8248547140283,1
"106","NAM","EPC 2015",34.5236175324009,364114036,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",29.3508680707483,1
"107","PAS","EPC 2015",57.7610108367067,609194409,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",11.4103691320799,1
"108","PAO","EPC 2015",14.7591325161816,155661767,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",8.10381523312734,1
"109","SAS","EPC 2015",168.349030968065,1775545250,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",13.9404799151414,1
"110","AFR","EPC 2015",91.1700748732477,961553461,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"EPC 2015","E2","Equality",3.97895428664317,1
"111","EU27","CO2 1850-2014",21.0261457889218,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",15.2713129910285,2
"112","REU","CO2 1850-2014",14.4719781720637,175745581,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",4.83727809339056,2
"113","CPA","CO2 1850-2014",88.6845900311304,1543734416,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",52.7723320101471,2
"114","FSU","CO2 1850-2014",17.5570210545499,288132971,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",12.5886940136973,2
"115","LAM","CO2 1850-2014",62.4665067190729,619813810,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",8.88774244467477,2
"116","MEA","CO2 1850-2014",50.3818536468855,488754711,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",13.8248547140283,2
"117","NAM","CO2 1850-2014",13.9808764357974,364114036,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",29.3508680707483,2
"118","PAS","CO2 1850-2014",68.4757618983021,609194409,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",11.4103691320799,2
"119","PAO","CO2 1850-2014",13.9306225482177,155661767,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",8.10381523312734,2
"120","SAS","CO2 1850-2014",206.82056667453,1775545250,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",13.9404799151414,2
"121","AFR","CO2 1850-2014",146.204077030528,961553461,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",3.97895428664317,2
"122","EU27","CO2 1990-2014",28.9609421928276,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",15.2713129910285,3
"123","REU","CO2 1990-2014",22.1282638199798,175745581,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",4.83727809339056,3
"124","CPA","CO2 1990-2014",80.7002028289736,1543734416,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",52.7723320101471,3
"125","FSU","CO2 1990-2014",22.4068745543465,288132971,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",12.5886940136973,3
"126","LAM","CO2 1990-2014",64.2753073376564,619813810,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",8.88774244467477,3
"127","MEA","CO2 1990-2014",46.939712446203,488754711,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",13.8248547140283,3
"128","NAM","CO2 1990-2014",18.1067734503303,364114036,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",29.3508680707483,3
"129","PAS","CO2 1990-2014",61.631385319855,609194409,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",11.4103691320799,3
"130","PAO","CO2 1990-2014",15.0994507123351,155661767,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",8.10381523312734,3
"131","SAS","CO2 1990-2014",190.145687721696,1775545250,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",13.9404799151414,3
"132","AFR","CO2 1990-2014",153.605399615796,961553461,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CO2 1990-2014","R5","Polluter Pays",3.97895428664317,3
"133","EU27","Consumption CO2 1990-2014",25.2734338333774,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",15.2713129910285,4
"134","REU","Consumption CO2 1990-2014",19.688684741968,175745581,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",4.83727809339056,4
"135","CPA","Consumption CO2 1990-2014",82.5785674594453,1543734416,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",52.7723320101471,4
"136","FSU","Consumption CO2 1990-2014",25.1704711262506,288132971,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",12.5886940136973,4
"137","LAM","Consumption CO2 1990-2014",61.9290546270663,619813810,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",8.88774244467477,4
"138","MEA","Consumption CO2 1990-2014",51.1504706988165,488754711,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",13.8248547140283,4
"139","NAM","Consumption CO2 1990-2014",16.8884315008847,364114036,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",29.3508680707483,4
"140","PAS","Consumption CO2 1990-2014",56.0843368946907,609194409,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",11.4103691320799,4
"141","PAO","Consumption CO2 1990-2014",13.5378813125189,155661767,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",8.10381523312734,4
"142","SAS","Consumption CO2 1990-2014",185.25751037805,1775545250,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",13.9404799151414,4
"143","AFR","Consumption CO2 1990-2014",166.441157426931,961553461,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"Consumption CO2 1990-2014","R7","Polluter Pays",3.97895428664317,4
"144","EU27","CPC CO2 1850-2014",19.7511880281721,442703856,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",15.2713129910285,5
"145","REU","CPC CO2 1850-2014",7.38378048749741,175745581,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",4.83727809339056,5
"146","CPA","CPC CO2 1850-2014",125.037018281514,1543734416,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",52.7723320101471,5
"147","FSU","CPC CO2 1850-2014",12.0986979031967,288132971,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",12.5886940136973,5
"148","LAM","CPC CO2 1850-2014",46.2935417975443,619813810,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",8.88774244467477,5
"149","MEA","CPC CO2 1850-2014",30.3149099305007,488754711,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",13.8248547140283,5
"150","NAM","CPC CO2 1850-2014",9.30562142643039,364114036,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",29.3508680707483,5
"151","PAS","CPC CO2 1850-2014",51.3267133466315,609194409,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",11.4103691320799,5
"152","PAO","CPC CO2 1850-2014",6.79133187447502,155661767,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",8.10381523312734,5
"153","SAS","CPC CO2 1850-2014",273.730120075718,1775545250,"Allocated per capita in 2015","1/sqrt(x)",94.8153988010529,"CPC CO2 1850-2014","R9","Polluter Pays",13.9404799151414,5
