"","r11eu27","indicator","rcb","pop","allocation","pf","equalcapita","indicatorfull","indicatorshort","principle","emiss_20152019co2",".group"
"1","EU27","EPC 2015",41.9751426574039,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",15.2713129910285,1
"2","REU","EPC 2015",16.6633873500377,175745581,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",4.83727809339056,1
"3","CPA","EPC 2015",146.369794295951,1543734416,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",52.7723320101471,1
"4","FSU","EPC 2015",27.3194425530972,288132971,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",12.5886940136973,1
"5","LAM","EPC 2015",58.76789357755,619813810,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",8.88774244467477,1
"6","MEA","EPC 2015",46.3414728393584,488754711,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",13.8248547140283,1
"7","NAM","EPC 2015",34.5236175324009,364114036,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",29.3508680707483,1
"8","PAS","EPC 2015",57.7610108367067,609194409,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",11.4103691320799,1
"9","PAO","EPC 2015",14.7591325161816,155661767,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",8.10381523312734,1
"10","SAS","EPC 2015",168.349030968065,1775545250,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",13.9404799151414,1
"11","AFR","EPC 2015",91.1700748732477,961553461,"Allocated per capita in 2015","1/x",94.8153988010529,"EPC 2015","E2","Equality",3.97895428664317,1
"12","EU27","CO2 1850-2014",9.2938192884923,442703856,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",15.2713129910285,2
"13","REU","CO2 1850-2014",11.0907156193635,175745581,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",4.83727809339056,2
"14","CPA","CO2 1850-2014",47.4145818370073,1543734416,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",52.7723320101471,2
"15","FSU","CO2 1850-2014",9.95627510568654,288132971,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",12.5886940136973,2
"16","LAM","CO2 1850-2014",58.5897138407712,619813810,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",8.88774244467477,2
"17","MEA","CO2 1850-2014",48.3331959680187,488754711,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",13.8248547140283,2
"18","NAM","CO2 1850-2014",4.99596698697917,364114036,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",29.3508680707483,2
"19","PAS","CO2 1850-2014",71.6318261749485,609194409,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",11.4103691320799,2
"20","PAO","CO2 1850-2014",11.6023851986655,155661767,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",8.10381523312734,2
"21","SAS","CO2 1850-2014",224.204274556181,1775545250,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",13.9404799151414,2
"22","AFR","CO2 1850-2014",206.887245423887,961553461,"Allocated per capita in 2015","1/x",94.8153988010529,"CO2 1850-2014","R2","Polluter Pays",3.97895428664317,2
